id,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Percent!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,county_name,state
0500000US08047,"Gilpin County, Colorado",39.6,14.1,93.3,54.3,Gilpin County, Colorado
0500000US08049,"Grand County, Colorado",38.0,9.3,94.0,56.2,Grand County, Colorado
0500000US08051,"Gunnison County, Colorado",56.2,5.7,89.3,52.6,Gunnison County, Colorado
0500000US08053,"Hinsdale County, Colorado",45.7,9.5,96.7,25.0,Hinsdale County, Colorado
0500000US08055,"Huerfano County, Colorado",21.1,15.5,90.5,58.7,Huerfano County, Colorado
0500000US08057,"Jackson County, Colorado",20.0,14.2,91.1,37.5,Jackson County, Colorado
0500000US08059,"Jefferson County, Colorado",45.2,8.2,89.4,45.7,Jefferson County, Colorado
0500000US08061,"Kiowa County, Colorado",21.4,6.3,97.3,44.4,Kiowa County, Colorado
0500000US08063,"Kit Carson County, Colorado",18.7,8.6,87.4,79.4,Kit Carson County, Colorado
0500000US08065,"Lake County, Colorado",32.3,7.7,81.5,80.9,Lake County, Colorado
0500000US08067,"La Plata County, Colorado",44.2,7.3,90.6,46.5,La Plata County, Colorado
0500000US08069,"Larimer County, Colorado",47.3,7.5,90.7,55.1,Larimer County, Colorado
0500000US08071,"Las Animas County, Colorado",19.5,10.6,85.7,67.5,Las Animas County, Colorado
0500000US08073,"Lincoln County, Colorado",12.6,8.5,90.3,89.3,Lincoln County, Colorado
0500000US08075,"Logan County, Colorado",20.2,10.3,89.7,81.7,Logan County, Colorado
0500000US08077,"Mesa County, Colorado",28.2,9.9,93.2,55.7,Mesa County, Colorado
0500000US08079,"Mineral County, Colorado",46.5,10.9,97.7,0.0,Mineral County, Colorado
0500000US08081,"Moffat County, Colorado",17.6,7.9,86.2,60.0,Moffat County, Colorado
0500000US08083,"Montezuma County, Colorado",29.6,10.8,88.7,61.8,Montezuma County, Colorado
0500000US08085,"Montrose County, Colorado",25.2,10.4,82.5,52.5,Montrose County, Colorado
0500000US08087,"Morgan County, Colorado",17.5,6.0,73.0,66.0,Morgan County, Colorado
0500000US08089,"Otero County, Colorado",18.6,9.1,86.7,68.3,Otero County, Colorado
0500000US08091,"Ouray County, Colorado",47.8,12.1,91.5,51.9,Ouray County, Colorado
0500000US08093,"Park County, Colorado",29.8,10.3,97.5,42.7,Park County, Colorado
0500000US08095,"Phillips County, Colorado",23.8,8.2,77.4,74.1,Phillips County, Colorado
0500000US08097,"Pitkin County, Colorado",60.8,4.9,83.8,53.8,Pitkin County, Colorado
0500000US08099,"Prowers County, Colorado",18.3,7.5,77.1,66.3,Prowers County, Colorado
0500000US08101,"Pueblo County, Colorado",21.8,10.8,87.7,53.6,Pueblo County, Colorado
0500000US08103,"Rio Blanco County, Colorado",22.7,10.9,94.6,72.5,Rio Blanco County, Colorado
0500000US08105,"Rio Grande County, Colorado",24.5,6.8,75.3,89.1,Rio Grande County, Colorado
0500000US08107,"Routt County, Colorado",49.8,6.2,93.7,52.4,Routt County, Colorado
0500000US08109,"Saguache County, Colorado",22.1,9.2,72.5,60.4,Saguache County, Colorado
0500000US08111,"San Juan County, Colorado",35.7,12.1,83.0,0.0,San Juan County, Colorado
0500000US08113,"San Miguel County, Colorado",59.4,4.9,84.3,57.4,San Miguel County, Colorado
0500000US08115,"Sedgwick County, Colorado",19.5,10.6,92.9,70.6,Sedgwick County, Colorado
0500000US08117,"Summit County, Colorado",52.4,4.9,84.8,74.5,Summit County, Colorado
0500000US08119,"Teller County, Colorado",37.7,16.3,96.3,34.8,Teller County, Colorado
0500000US08121,"Washington County, Colorado",15.4,9.4,95.1,63.4,Washington County, Colorado
0500000US08123,"Weld County, Colorado",27.5,7.1,80.7,64.3,Weld County, Colorado
0500000US08125,"Yuma County, Colorado",21.8,7.2,81.4,93.4,Yuma County, Colorado
0500000US09001,"Fairfield County, Connecticut",47.9,4.3,70.3,51.6,Fairfield County, Connecticut
0500000US09003,"Hartford County, Connecticut",38.1,5.5,75.0,43.3,Hartford County, Connecticut
0500000US09005,"Litchfield County, Connecticut",35.4,7.7,89.7,42.4,Litchfield County, Connecticut
0500000US09007,"Middlesex County, Connecticut",42.2,7.2,89.3,40.4,Middlesex County, Connecticut
