id,Geographic Area Name,Percent!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!Asian,Percent!!HISPANIC OR LATINO AND RACE!!Total population,gen_z,gen_y,gen_x,baby_boomer,silent_gen,county_name,state
0500000US17053,"Ford County, Illinois",13270,95.0,1.1,0.7,13270,11.899999999999999,11.1,24.299999999999997,25.1,9.5,Ford County, Illinois
0500000US17055,"Franklin County, Illinois",38923,96.9,0.9,0.5,38923,11.2,11.6,25.0,25.2,8.9,Franklin County, Illinois
0500000US17057,"Fulton County, Illinois",35092,94.0,3.8,0.1,35092,11.4,12.1,26.0,25.200000000000003,9.1,Fulton County, Illinois
0500000US17059,"Gallatin County, Illinois",5064,96.5,0.5,0.1,5064,9.899999999999999,10.5,24.9,27.9,9.8,Gallatin County, Illinois
0500000US17061,"Greene County, Illinois",13132,96.9,1.4,0.2,13132,12.0,11.5,25.700000000000003,25.200000000000003,8.7,Greene County, Illinois
0500000US17063,"Grundy County, Illinois",50666,93.3,1.4,0.8,50666,12.5,12.8,27.7,20.7,5.5,Grundy County, Illinois
0500000US17065,"Hamilton County, Illinois",8176,99.2,0.4,0.1,8176,11.0,10.5,24.0,26.200000000000003,10.100000000000001,Hamilton County, Illinois
0500000US17067,"Hancock County, Illinois",17983,97.4,0.6,0.4,17983,10.7,10.3,23.4,27.8,10.5,Hancock County, Illinois
0500000US17069,"Hardin County, Illinois",3939,95.6,2.7,0.1,3939,11.100000000000001,9.3,28.200000000000003,29.299999999999997,9.2,Hardin County, Illinois
0500000US17071,"Henderson County, Illinois",6809,97.6,0.1,0.6,6809,10.4,9.4,22.8,30.900000000000002,11.5,Henderson County, Illinois
0500000US17073,"Henry County, Illinois",49267,94.0,1.9,0.5,49267,11.7,10.6,24.7,25.9,9.0,Henry County, Illinois
0500000US17075,"Iroquois County, Illinois",27812,92.6,0.9,0.4,27812,11.5,10.3,24.0,26.5,10.0,Iroquois County, Illinois
0500000US17077,"Jackson County, Illinois",57977,76.3,15.0,3.4,57977,24.5,14.1,20.1,20.0,6.300000000000001,Jackson County, Illinois
0500000US17079,"Jasper County, Illinois",9594,97.3,0.5,0.1,9594,10.7,10.6,24.7,26.1,8.5,Jasper County, Illinois
0500000US17081,"Jefferson County, Illinois",37985,87.3,8.4,1.2,37985,11.9,12.2,25.4,24.2,8.0,Jefferson County, Illinois
0500000US17083,"Jersey County, Illinois",21937,96.7,0.4,0.3,21937,13.7,10.8,24.7,25.6,8.4,Jersey County, Illinois
0500000US17085,"Jo Daviess County, Illinois",21588,97.2,0.6,0.6,21588,9.9,8.9,22.4,32.1,11.399999999999999,Jo Daviess County, Illinois
0500000US17087,"Johnson County, Illinois",12494,87.7,11.3,0.4,12494,11.7,13.1,25.7,26.1,8.7,Johnson County, Illinois
0500000US17089,"Kane County, Illinois",531376,73.0,5.5,4.1,531376,13.7,12.0,27.6,20.4,5.199999999999999,Kane County, Illinois
0500000US17091,"Kankakee County, Illinois",110637,79.6,15.2,0.8,110637,15.2,12.2,24.3,22.3,7.1,Kankakee County, Illinois
0500000US17093,"Kendall County, Illinois",126054,81.4,7.4,3.2,126054,13.2,12.5,30.5,16.0,3.8,Kendall County, Illinois
0500000US17095,"Knox County, Illinois",50508,85.6,8.9,1.1,50508,13.9,10.8,23.799999999999997,25.799999999999997,9.2,Knox County, Illinois
