id,Geographic Area Name,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars),Percent!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,county_name,state
0500000US49037,"San Juan County, Utah",32.3,20.1,17.2,15.1,15.4,25836.0,21.9,San Juan County, Utah
0500000US49039,"Sanpete County, Utah",31.4,19.1,20.8,14.0,14.8,20676.0,10.3,Sanpete County, Utah
0500000US49041,"Sevier County, Utah",29.3,19.1,20.1,15.7,15.8,27260.0,11.2,Sevier County, Utah
0500000US49043,"Summit County, Utah",48.3,16.7,19.4,7.4,8.2,43585.0,6.7,Summit County, Utah
0500000US49045,"Tooele County, Utah",32.8,15.4,21.6,12.0,18.2,37913.0,7.2,Tooele County, Utah
0500000US49047,"Uintah County, Utah",29.3,13.7,23.8,15.2,18.0,32124.0,15.1,Uintah County, Utah
0500000US49049,"Utah County, Utah",42.3,14.9,24.8,7.6,10.3,26473.0,8.0,Utah County, Utah
0500000US49051,"Wasatch County, Utah",38.0,21.7,22.0,8.5,9.8,36739.0,8.1,Wasatch County, Utah
0500000US49053,"Washington County, Utah",33.3,19.6,25.8,9.3,12.0,28060.0,13.3,Washington County, Utah
0500000US49055,"Wayne County, Utah",29.4,18.7,19.4,15.6,16.9,28781.0,15.5,Wayne County, Utah
0500000US49057,"Weber County, Utah",33.0,14.0,24.4,10.4,18.2,32345.0,8.9,Weber County, Utah
0500000US50001,"Addison County, Vermont",41.8,15.2,18.8,12.5,11.7,31913.0,4.3,Addison County, Vermont
0500000US50003,"Bennington County, Vermont",39.3,18.6,20.3,8.5,13.3,30563.0,4.3,Bennington County, Vermont
0500000US50005,"Caledonia County, Vermont",36.8,18.5,19.3,12.1,13.2,30700.0,4.6,Caledonia County, Vermont
0500000US50007,"Chittenden County, Vermont",49.4,16.0,19.3,6.1,9.1,36186.0,3.1,Chittenden County, Vermont
0500000US50009,"Essex County, Vermont",26.2,21.4,20.0,14.3,18.1,27489.0,3.9,Essex County, Vermont
0500000US50011,"Franklin County, Vermont",36.6,15.8,21.0,11.3,15.3,38003.0,3.8,Franklin County, Vermont
0500000US50013,"Grand Isle County, Vermont",40.6,14.1,21.8,11.7,11.8,37630.0,3.6,Grand Isle County, Vermont
0500000US50015,"Lamoille County, Vermont",37.2,19.8,20.6,12.1,10.2,32282.0,5.0,Lamoille County, Vermont
0500000US50017,"Orange County, Vermont",38.6,17.2,16.8,14.4,13.1,33763.0,4.8,Orange County, Vermont
0500000US50019,"Orleans County, Vermont",32.7,17.3,22.4,13.4,14.1,29625.0,3.5,Orleans County, Vermont
0500000US50021,"Rutland County, Vermont",34.8,19.5,22.0,11.5,12.2,31823.0,4.6,Rutland County, Vermont
0500000US50023,"Washington County, Vermont",46.5,15.8,19.7,9.3,8.7,36050.0,3.1,Washington County, Vermont
0500000US50025,"Windham County, Vermont",40.9,19.3,18.6,10.7,10.5,30074.0,5.2,Windham County, Vermont
0500000US50027,"Windsor County, Vermont",41.1,19.6,19.0,9.3,10.9,34391.0,4.8,Windsor County, Vermont
0500000US51001,"Accomack County, Virginia",28.3,16.5,17.3,15.4,22.5,27061.0,16.6,Accomack County, Virginia
0500000US51003,"Albemarle County, Virginia",54.7,15.6,18.4,6.0,5.3,40124.0,6.7,Albemarle County, Virginia
0500000US51005,"Alleghany County, Virginia",27.9,17.1,19.6,11.7,23.7,31700.0,6.5,Alleghany County, Virginia
0500000US51007,"Amelia County, Virginia",28.7,16.8,21.0,21.0,12.5,39509.0,10.3,Amelia County, Virginia
